id,title,description,category
WO4GFxFzjh,Den lokale handyman,"En jordnær, hjælpsom type der fikser alt – også hovedpersonens hjerte.",character
j2myDZerZh,Karriere vs. kærlighed,"Et stort jobtilbud kolliderer med spirende romantik i småbyen.",mainPlot
T7H7XGUvjG,Sneboldkamp i slowmotion,"En flirtende sneboldkamp ender i grin og øjenkontakt.",visual
jillJs4tTc,Enkemand med juletraume,"En enkemand, der har mistet juleglæden, finder håb igen.",character
UCBLG0dlD5,Gæstgiveriet i knibe,"En gammel kro er ved at lukke, og parret må redde den inden jul.",mainPlot
zzdoIRKtVF,Kys foran byens juletræ,"Et skelsættende kys foran det tændte juletræ.",visual
q5gtADVZ0c,Overhørt samtale,"En misforståelse opstår, da en karakter hører kun halvdelen af en sætning.",subPlot
wGz6zWBais,Julemanden i forklædning,"En mystisk ældre mand viser sig at være Julemanden selv.",character
bV2EkCsEBl,Storbychef på landet,"En streng chef sendes ud til en lille by – og bløder op af julestemning.",character
0J33hAchFJ,Ufrivillige makkere,"To personer der ikke kan enes, tvinges til at samarbejde.",mainPlot
8nvZjQPGfs,Snemand med betydning,"De bygger en snemand, som viser sig at få sentimental værdi.",visual
60EXGHz3te,Det føles som hjemme,"En klassisk replik der markerer romantisk gennembrud.",quote
H6zm0cklbt,Butiksejeren med stort hjerte,"En lille butik rummer både julemagi og en potentiel partner.",character
fZyBEqOher,Bagning som bonding,"Et romantisk øjeblik opstår midt i kaotisk småkagebagning.",visual
OZT61wjqDG,Den magiske bedstemor,"En ældre slægtning orkestrerer kærlighed uden at indrømme det.",character
zwFuvptwXX,Juletræslysningen,"En stor begivenhed hvor kærlighed opstår eller erkendes.",visual
9MaOQKHkTA,Journalist på juleopgave,"En journalist sendes modvilligt til en lille by for at skrive en artikel.",character
kh2g23ot86,"Jeg plejede at elske jul…","En sørgmodig replik der afslører sårbarhed.",quote
kDADEGxDDS,Julekort med hemmelig afsender,"Et mystisk julekort fører to mennesker sammen.",subPlot
oeZwjzdnjl,Hvor er dine handsker?,"Omsorg forklædt som flirt.",quote
